No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
,9,Noreste,Monterrey,05,Coahuila,,,05005,Candela,,"1,736","1,728",-0.5%,"2,119",,19,"1,492",86.3%,61.11,14.13,"1,061",244,2.31,2.11,14.93,2.26,259,39,3.66,3.54,46.18,11.88,802,205,1.87,1.83,22.92,67.56,398,"1,167",1.80,1.64,7.41,1.12,129,19,8.55,17.19,148,297,30.06,26.22,522,453,2.74,2.19,20.81,16.36,361,283,3.16,2.64,62.18,68.41,"1,080","1,182",2.38,1.82,8.40,8.05,146,139,3.56,2.88,22.82,8.38,396,145,3.13,2.76,38.20,13.28,663,229,2.81,2.39,84.03,81.69,"1,459","1,412",2.17,1.72,28.18,12.74,489,220,3.55,3.34,68.52,15.25,"1,190",264,2.06,1.95,34.66,5.47,602,94,2.32,2.29,6.05,12.29,"8,572.70","9,297.49",20.12,0.574,0.638,0.776,0.657,2,0,0,0,0,0,2,13,0,0,0,0,0,13,0,1,1,0,0,0,2,0,7,6,0,0,0,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,X,,2019 - 2021,2015,0,1,1,0,1,1,0
,10,Noreste,Monterrey,05,Coahuila,,,05007,Cuatro Ciénegas,,"11,698","14,168",21.1%,"10,672",,96,"10,309",72.8%,45.90,39.20,"5,370","5,552",2.22,1.83,6.62,3.70,774,520,3.64,3.43,39.30,35.52,"4,595","5,033",1.99,1.66,25.91,28.26,"3,031","4,003",2.28,1.48,11.54,11.83,"1,350","1,676",16.65,20.73,"1,947","2,937",17.49,18.19,"2,046","2,577",2.94,2.28,12.39,3.93,"1,449",557,3.12,2.82,54.30,54.79,"6,352","7,762",2.54,1.77,9.81,9.98,"1,147","1,414",4.04,2.84,22.71,15.63,"2,656","2,215",3.48,2.66,44.36,10.97,"5,189","1,554",2.69,2.48,71.82,67.44,"8,401","9,555",2.24,1.68,25.60,11.81,"2,995","1,673",3.64,3.34,57.44,51.02,"6,719","7,228",1.78,1.40,20.48,14.09,"2,396","1,996",2.07,1.78,7.37,11.79,"11,296.59","12,251.68",9.60,0.621,0.677,0.906,0.725,23,0,2,0,0,0,25,337,0,14,0,0,0,351,0,4,14,2,0,5,25,0,126,172,23,0,30,351,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,X,,2019 - 2021,2012,0,2,3,1,1,1,0
,11,Noreste,Monterrey,05,Coahuila,,,05012,Guerrero,,"1,946","1,706",-12.3%,"2,927",,91,959,56.2%,51.20,45.00,996,768,2.47,1.95,11.61,5.92,226,101,3.71,3.37,39.58,39.08,770,667,2.11,1.73,30.99,34.33,603,586,1.92,1.65,6.87,8.40,134,143,10.95,12.27,213,209,28.42,27.23,553,465,2.67,2.09,27.45,20.34,534,347,3.13,2.52,55.03,56.96,"1,071",972,2.60,1.98,12.91,11.48,251,196,3.34,2.88,22.55,16.14,439,275,3.13,2.44,39.70,12.14,773,207,2.77,2.79,82.18,79.33,"1,599","1,353",2.26,1.82,30.55,16.34,594,279,3.54,3.29,58.07,53.40,"1,130",911,2.18,1.64,24.37,22.55,474,385,2.48,1.85,6.18,11.11,"10,066.92","10,918.04",21.21,0.552,0.661,0.762,0.652,3,0,0,0,0,43,46,14,0,0,0,0,207,221,0,0,1,2,0,43,46,0,0,4,10,0,207,221,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,X,,2019 - 2021,2015,0,0,0,0,1,0,0
,12,Noreste,Monterrey,05,Coahuila,,,05020,Múzquiz,,"66,834","69,102",3.4%,"8,288",,151,"35,060",49.6%,35.20,27.60,"23,592","19,555",1.80,1.70,3.20,1.80,"1,994","1,270",3.30,3.40,32.20,25.80,"20,316","18,285",1.60,1.50,23.20,21.70,"14,642","15,328",1.50,1.40,15.80,19.80,"9,958","14,007",25.70,30.90,"16,234","21,854",14.30,15.90,"9,021","11,267",1.90,1.80,10.20,6.60,"6,465","4,661",2.50,2.40,29.60,28.60,"18,667","20,208",2.00,1.80,8.80,7.60,"5,531","5,364",2.60,2.40,12.00,9.40,"7,567","6,663",2.10,2.20,23.80,8.70,"15,007","6,139",2.20,2.10,58.50,49.30,"36,952","33,562",1.70,1.00,9.80,6.20,"6,202","4,409",3.30,3.30,15.40,47.40,"9,699","33,562",1.60,1.00,51.10,11.60,"32,269","8,189",1.20,1.30,8.70,11.51,"12,839.55","13,925.10",9.34,0.628,0.695,0.909,0.735,11,2,0,0,0,0,13,215,14,0,0,0,0,229,0,0,3,5,0,5,13,0,0,87,71,0,71,229,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,NEGROS MASCOGOS 253,,,419,X,,2019 - 2021,2018,0,4,5,1,1,1,0
,13,Noreste,Monterrey,05,Coahuila,,,05024,Parras,,"43,087","43,759",1.6%,"10,621",,165,"33,817",77.3%,39.06,36.08,"16,831","15,790",2.37,1.78,6.92,3.61,"2,983","1,580",3.74,3.45,32.14,32.47,"13,848","14,209",2.07,1.60,20.92,21.10,"9,014","9,232",1.90,1.52,14.43,17.25,"6,218","7,549",25.59,25.57,"11,025","11,189",13.86,13.25,"5,970","5,799",2.82,2.25,14.32,8.25,"6,172","3,609",3.30,2.56,45.38,39.68,"19,552","17,364",2.48,1.87,6.64,5.66,"2,862","2,475",3.50,2.84,19.36,9.91,"8,340","4,336",3.47,2.66,32.66,19.81,"14,074","8,669",2.75,2.04,59.98,57.18,"25,845","25,022",2.20,1.69,20.85,9.18,"8,982","4,018",3.65,3.35,53.49,53.33,"23,048","23,338",1.73,1.21,17.34,17.81,"7,472","7,795",2.22,1.61,7.95,12.71,"12,384.48","13,431.54",12.87,0.669,0.690,0.866,0.737,25,0,5,0,13,0,43,424,0,49,0,91,0,564,2,2,15,9,0,15,43,106,60,188,58,0,152,564,55,37,,,,,4,,,,,5,3,,,,,10,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,X,,2019 - 2021,2004,0,1,2,0,1,1,0
,14,Noreste,Monterrey,05,Coahuila,,,05036,Viesca,,"21,319","21,549",1.1%,"4,402",,88,"3,610",16.8%,63.23,50.02,"13,480","10,779",2.23,1.94,11.87,7.23,"2,531","1,558",3.59,3.46,51.35,42.78,"10,948","9,219",1.92,1.68,22.07,23.09,"4,706","4,976",1.97,1.67,8.33,15.58,"1,776","3,358",6.37,11.31,"1,359","2,438",22.93,22.73,"4,899","4,440",2.79,2.31,28.18,15.04,"6,008","3,241",3.00,2.96,58.62,41.53,"12,711","8,950",2.50,2.19,4.98,8.93,"1,062","1,925",3.52,2.58,25.00,20.22,"5,330","4,358",2.81,2.47,44.83,26.94,"9,558","5,806",2.57,2.25,85.30,73.11,"18,186","15,755",2.16,1.85,27.34,15.68,"5,829","3,379",3.49,3.43,71.56,65.60,"15,256","14,137",1.97,1.48,35.08,31.08,"7,479","6,698",2.15,1.70,6.00,10.88,"7,933.72","8,604.49",10.90,0.538,0.626,0.890,0.669,4,0,0,0,0,0,4,28,0,0,0,0,0,28,0,0,1,1,2,0,4,0,0,15,6,7,0,28,2,,,,,,,,,,,,,,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,X,,2019- 2021,2012,0,2,2,2,1,1,0
,15,Centro Norte y Occidente,Guadalajara,06,Colima,8,5,06003,Comala,,"21,138","23,998",13.5%,314,38.90,97,"9,442",39.3%,49.59,44.22,"10,481","10,611",2.06,2.19,4.96,5.28,"1,049","1,267",3.62,3.47,44.62,38.94,"9,432","9,345",1.89,2.02,35.70,39.53,"7,546","9,487",1.84,1.80,2.99,4.26,633,"1,022",11.72,11.99,"2,478","2,878",21.95,19.77,"4,640","4,744",2.67,2.74,18.86,12.59,"3,988","3,022",2.74,2.74,74.03,72.38,"15,648","17,371",2.05,2.09,14.20,11.89,"3,001","2,853",3.15,3.28,15.04,30.65,"3,179","7,355",3.06,2.87,23.83,20.78,"5,036","4,988",2.92,2.97,85.28,83.75,"18,027","20,098",1.97,2.01,23.08,23.94,"4,880","5,746",3.43,3.42,52.58,48.48,"11,114","11,633",1.94,2.00,13.72,12.76,"2,900","3,063",2.22,2.27,7.00,12.07,"9,608.35","10,420.71",13.60,0.612,0.654,0.856,0.700,3,,7,,,13,23,50,,75,,,57,182,2,4,1,2,,14,23,47,22,7,44,,62,182,22,160,,30,,,7,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,X, ,2018 - 2021,2002,,1,3,4,1,1,1
,16,Pacífico Sur,Oaxaca,07,Chiapas,,,07019,Comitán de Domínguez,,"149,562","173,188",15.8%,978,,268,"97,537",56.3%,66.69,66.54,"99,741","115,243",2.64,2.45,18.76,16.65,"28,064","28,833",3.70,3.59,47.92,49.89,"71,676","86,410",2.22,2.07,20.23,22.34,"30,261","38,698",2.05,1.87,3.09,2.64,"4,624","4,577",9.99,8.47,"14,936","14,670",32.14,28.96,"48,073","50,150",3.27,3.16,34.45,15.12,"51,522","26,191",3.08,2.99,81.34,83.67,"121,649","144,913",2.56,2.35,15.57,13.57,"23,286","23,505",3.76,3.69,32.44,37.47,"48,517","64,885",3.29,3.15,21.57,26.13,"32,265","45,259",3.46,3.19,86.92,88.89,"130,002","153,941",2.50,2.31,39.05,34.70,"58,408","60,104",3.57,3.50,69.78,69.19,"104,365","119,820",2.52,2.36,29.94,30.02,"44,784","51,987",2.94,2.70,6.78,11.23,"9,545.20","10,352.21",15.37,0.581,0.653,0.835,0.682,79,6,1,,2,2,90,"1,707",96,20,,14,24,"1,861",1,3,7,9,16,54,90,25,205,107,159,245,"1,120","1,861",98,115,26,,140,"3,081",,"1,757",,,30,140,18,,,66,,,,,,,"5,037",,,,,,,,,87,,,,,,539,,,,65,,,,,,,,,15,,,,,,,,,,,,,,,,,"11,116",X,,2018 - 2021,2012,1,3,2,0,1,1,0
,17,Pacífico Sur,Oaxaca,07,Chiapas,10,2,07027,Chiapa de Corzo,,"82,617","125,567",52.0%,831,64.30,284,"45,077",35.9%,69.06,59.32,"57,054","74,488",3.00,2.76,24.84,17.06,"20,518","21,424",3.89,3.78,44.22,42.26,"36,536","53,064",2.51,2.34,17.81,25.09,"14,711","31,508",2.17,2.03,3.41,4.00,"2,814","5,019",9.73,11.59,"8,038","14,552",28.28,24.93,"23,362","31,300",3.65,3.42,42.37,18.75,"35,004","23,548",3.25,3.21,79.78,74.19,"65,914","93,157",2.93,2.66,35.91,25.15,"29,667","31,580",3.85,3.68,33.57,41.81,"27,734","52,496",3.63,3.34,26.16,29.81,"21,614","37,431",3.99,3.40,86.87,84.41,"71,766","105,996",2.83,2.54,48.16,39.62,"39,789","49,746",3.78,3.67,72.46,63.32,"59,868","79,507",2.86,2.58,34.65,25.45,"28,628","31,962",3.27,3.05,6.63,11.92,"8,706.24","9,442.32",11.47,0.592,0.640,0.883,0.694,10,,1,,5,,16,244,,10,,51,,305,,3,2,3,7,1,16,,106,39,62,80,18,305,28,,37,,66,"1,314",,"5,321",,,,165,,,,,,,,"1,892",,,48,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,857",X,,2018 - 2021,2012,1,3,3,1,1,1,0
,18,Pacífico Sur,Oaxaca,07,Chiapas,,,07065,Palenque,Tren Maya,"121,227","126,000",3.9%,"2,888",,694,"42,947",34.1%,85.76,76.95,"103,968","96,960",3.29,3.02,44.04,33.50,"53,391","42,212",3.99,3.80,41.72,43.45,"50,577","54,748",2.55,2.42,9.58,16.61,"11,615","20,924",2.41,2.15,1.34,1.73,"1,630","2,185",3.31,4.71,"4,015","5,931",35.72,28.89,"43,306","36,398",3.85,3.72,37.65,17.23,"45,641","21,704",3.83,3.62,90.73,87.92,"109,984","110,774",3.28,2.92,39.22,33.62,"47,548","42,366",4.16,3.79,63.26,65.11,"76,694","82,037",3.56,3.35,38.97,35.51,"47,246","44,747",4.05,3.76,95.34,93.56,"115,582","117,884",3.20,2.87,65.52,56.17,"79,423","70,771",3.86,3.68,87.11,78.69,"105,598","99,145",3.24,2.96,55.84,44.00,"67,696","55,445",3.54,3.30,5.16,11.30,"5,986.04","6,492.14",14.91,0.509,0.586,0.840,0.630,62,1,5,,23,1,92,"2,144",5,64,,377,8,"2,598",2,12,22,9,46,1,92,248,771,594,212,768,5,"2,598",67,362,145,,67,"22,994",,186,8,,,"44,085",,,32,21,,,,105,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,013",X,,2018 - 2021,2015,1,1,2,1,1,1,0
,19,Pacífico Sur,Oaxaca,07,Chiapas,,,07078,San Cristóbal de las Casas,,"191,228","206,839",8.2%,394,,98,"158,027",76.4%,67.72,60.00,"129,492","124,102",3.04,2.43,27.55,16.81,"52,680","34,772",4.18,3.80,40.17,43.19,"76,812","89,330",2.26,1.90,15.96,21.52,"30,512","44,518",1.93,1.71,3.39,4.92,"6,483","10,178",12.94,13.56,"24,740","28,041",26.86,21.17,"51,369","43,796",3.87,3.30,38.65,27.35,"73,916","56,575",3.32,2.87,78.68,75.70,"150,462","156,576",2.90,2.30,27.92,13.85,"53,383","28,638",4.24,3.76,30.76,19.63,"58,823","40,600",4.16,3.60,33.66,24.94,"64,359","51,587",3.90,3.22,83.67,81.52,"160,005","168,620",2.83,2.24,42.81,27.57,"81,859","57,031",4.00,3.65,71.11,64.92,"135,975","134,281",2.89,2.25,36.55,30.18,"69,886","62,419",3.55,2.79,8.31,12.32,"10,834.43","11,750.45",18.37,0.674,0.671,0.798,0.712,129,1,10,2,56,9,207,"3,260",13,120,65,693,98,"4,249",9,42,53,25,75,3,207,251,"1,225","1,092",649,"1,001",31,"4,249",163,,74,,92,"30,546",12,"66,553",,,,"1,993",,,,114,,,,160,,,181,,,,,,,,,52,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,807",X,,2017 - 2035,2003,,14,15,,1,1,0
,20,Norte Centro,Chihuahua,08,Chihuahua,,,08008,Batopilas,,"14,998","6,111",-59.3%,"2,137",,424,"1,220",20.0%,92.06,93.00,"13,808","5,683",3.26,2.86,57.46,41.42,"8,617","2,531",3.69,4.20,34.61,51.58,"5,190","3,152",2.55,1.79,7.79,4.73,"1,169",289,2.47,1.89,0.05,1.73,7,106,0.09,0.54,14,33,50.03,39.31,"7,503","2,402",3.77,3.83,35.39,9.12,"5,308",557,3.97,4.59,98.13,81.29,"14,718","4,967",3.23,2.98,26.09,36.50,"3,913","2,231",4.34,4.23,94.69,74.54,"14,201","4,555",3.30,3.26,15.33,34.34,"2,299","2,099",4.59,4.31,99.86,97.73,"14,977","5,972",3.20,2.82,75.30,45.80,"11,294","2,799",3.65,4.17,92.11,94.73,"13,815","5,789",3.26,2.81,70.84,81.85,"10,624","5,002",3.36,2.94,3.47,8.24,"3,325.00","3,606.12",56.66,0.356,0.502,0.324,0.387,11,,,,,,11,115,,,,,,115,1,,2,2,6,,11,15,,26,22,52,,115,7,,,,,,,,,,,,,,,,,"6,679",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,"6,682",X,,2018 - 2021,2012,,,,,1,1,0
,21,Norte Centro,Chihuahua,08,Chihuahua,,,08009,Bocoyna (Creel),,"30,463","23,479",-22.9%,"2,706",,508,"5,026",21.4%,68.31,58.93,"20,809","13,835",2.56,2.26,21.82,11.33,"6,646","2,659",3.81,3.82,46.50,47.60,"14,164","11,176",1.97,1.89,15.39,26.16,"4,687","6,143",1.76,1.73,5.69,5.01,"1,733","1,176",10.62,9.90,"3,234","2,325",24.98,23.71,"7,610","5,566",3.33,3.03,23.14,13.00,"7,049","3,053",3.08,3.10,71.97,74.34,"21,924","17,455",2.51,2.15,16.28,17.66,"4,958","4,147",3.91,3.43,29.15,33.01,"8,879","7,751",3.59,3.05,36.45,16.59,"11,103","3,894",3.42,3.43,83.70,85.09,"25,496","19,978",2.41,2.10,34.88,25.90,"10,627","6,081",3.74,3.61,74.00,63.93,"22,542","15,011",2.36,2.08,37.78,28.32,"11,509","6,649",2.82,2.41,6.21,12.17,"8,956.83","9,714.10",29.50,0.579,0.644,0.660,0.626,33,1,20,,2,,56,880,30,221,,34,,"1,165",3,2,7,11,33,,56,208,51,235,213,458,,"1,165",23,3,,,,,,15,,,,,,,,,,"8,310",,,,,,,,,,,,,,,,,,,8,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,"8,342",,X,SIN DOCUMENTO,2007,,1,1,1,1,1,1
,22,Norte Centro,Chihuahua,08,Chihuahua,,,08013,Casas Grandes,,"10,993","12,605",14.7%,"3,755",,149,"5,256",41.7%,44.43,38.62,"4,884","4,868",1.83,1.63,4.78,1.85,526,233,3.46,3.31,39.65,36.77,"4,359","4,635",1.63,1.54,31.73,32.66,"3,488","4,117",1.58,1.50,9.33,10.07,"1,026","1,270",14.51,18.65,"1,595","2,350",19.77,22.91,"2,173","2,888",2.13,1.93,22.35,12.31,"2,456","1,552",2.46,2.37,64.15,52.89,"7,052","6,666",1.84,1.68,8.67,4.69,953,592,2.78,2.38,8.62,9.66,947,"1,218",2.92,2.35,7.69,9.49,845,"1,197",2.95,2.28,76.16,71.28,"8,372","8,985",1.72,1.57,12.89,8.66,"1,417","1,091",3.36,3.20,53.76,48.69,"5,910","6,138",1.51,1.29,17.84,16.84,"1,961","2,123",1.83,1.44,6.74,12.67,"10,708.53","11,613.90",17.18,0.615,0.669,0.812,0.694,3,,,,1,,4,27,,,,4,,31,,,,1,3,,4,,,,8,23,,31,2,18,,,8,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,X,,2018 - 2021,2015,2,1,1,1,1,1,0
,23,Norte Centro,Chihuahua,10,Durango,,,10013,Mapimí,,"28,634","32,198",12.4%,"7,745",,269,"5,623",17.5%,61.64,40.50,"17,651","13,042",2.43,1.81,13.82,1.32,"3,957",426,3.47,3.41,47.82,39.18,"13,694","12,615",2.12,1.75,24.18,36.20,"6,925","11,657",2.04,1.85,6.06,8.46,"1,736","2,725",8.11,14.83,"2,322","4,774",26.07,27.09,"7,464","8,722",2.76,2.27,34.93,15.11,"10,002","4,865",2.96,2.77,68.61,54.51,"19,645","17,551",2.52,1.99,10.39,6.24,"2,975","2,009",3.53,2.83,34.23,18.55,"9,802","5,974",3.03,2.52,24.57,18.55,"7,036","5,972",3.11,2.32,85.83,76.71,"24,576","24,698",2.32,1.83,36.18,16.73,"10,358","5,386",3.42,3.27,67.71,48.97,"19,387","15,767",2.21,1.49,25.56,9.41,"7,320","3,030",2.53,1.58,6.16,10.52,"12,665.21","13,736.01",14.32,0.536,0.693,0.848,0.680,10,,1,,,,11,133,,2,,,,135,,,1,4,5,1,11,,,10,72,51,2,135,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,X,,2019 - 2022,2012,,3,1,1,1,1,1
,24,Norte Centro,Chihuahua,10,Durango,,,10016,Nombre de Dios,,"20,870","17,809",-14.7%,"1,186",,68,"5,302",29.8%,64.63,50.00,"13,487","8,905",2.26,1.61,13.96,1.60,"2,913",285,3.49,3.31,50.67,48.40,"10,575","8,619",1.92,1.55,24.56,31.39,"5,126","5,591",1.94,1.58,3.49,7.16,727,"1,275",7.33,11.45,"1,529","2,039",21.74,18.27,"4,538","3,254",2.85,2.08,33.74,14.96,"7,041","2,664",2.84,2.38,80.77,66.10,"16,857","11,771",2.23,1.64,11.00,3.31,"2,296",589,3.68,2.89,19.41,13.26,"4,051","2,361",3.34,2.22,26.85,13.96,"5,604","2,485",3.13,2.23,89.19,81.39,"18,613","14,496",2.17,1.60,31.64,9.31,"6,603","1,658",3.43,3.18,68.11,57.16,"14,215","10,179",2.14,1.41,31.98,16.94,"6,674","3,017",2.34,1.50,6.60,11.63,"7,949.04","8,621.10",15.87,0.583,0.627,0.828,0.672,1,,1,2,,,4,9,,5,9,,,23,,,,,,4,4,,,,,,23,23,35,6,,,,,,,2,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,SIN DOCUMENTO,2018,,1,1,1,1,1,1
,25,Centro Norte y Occidente,Guadalajara,11,Guanajuato,57,2,11009,Comonfort,,"75,326","74,866",-0.6%,489,47.30,148,"23,683",31.6%,63.63,57.48,"47,929","43,036",2.60,2.17,16.69,8.64,"12,569","6,469",3.67,3.47,46.94,48.84,"35,360","36,567",2.21,1.94,25.13,26.72,"18,926","20,002",2.00,1.98,3.13,7.22,"2,359","5,403",8.11,8.58,"6,112","6,424",26.74,21.81,"20,140","16,332",3.14,2.84,18.48,11.43,"13,922","8,557",2.93,2.73,81.18,72.91,"61,147","54,583",2.51,2.19,19.35,17.46,"14,576","13,071",3.64,3.11,27.82,30.78,"20,954","23,041",3.44,2.92,42.04,23.48,"31,664","17,581",3.20,2.83,88.75,84.20,"66,855","63,038",2.43,2.11,39.60,26.56,"29,829","19,884",3.53,3.39,66.76,64.70,"50,288","48,439",2.47,1.93,25.69,26.70,"19,353","19,992",2.93,2.11,5.93,11.50,"8,162.67","8,852.80",12.90,0.550,0.630,0.865,0.669,5,,2,,1,2,10,48,,5,,8,6,67,,,,1,,9,10,,,,16,,51,67,14,43,,,,,385,,56,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,X,,2017 - 2021,2018,,1,1,,1,1,0
,26,Centro Norte y Occidente,Guadalajara,11,Guanajuato,,,11014,Dolores Hidalgo Cuna de la Independencia Nacional,,"144,333","146,574",1.6%,"1,656",,539,"59,240",40.4%,60.39,56.15,"87,157","82,303",2.53,2.17,15.36,6.95,"22,175","10,182",3.54,3.49,45.02,49.20,"64,982","72,121",2.18,1.98,30.65,33.00,"44,243","48,374",1.96,2.07,1.71,4.16,"2,475","6,097",7.25,6.69,"10,458","9,800",30.83,27.60,"44,500","40,461",3.01,2.80,22.03,14.58,"31,802","21,367",2.96,2.80,82.40,77.82,"118,932","114,058",2.42,2.21,11.19,13.98,"16,156","20,492",3.63,3.22,28.62,25.42,"41,307","37,264",3.23,3.04,37.83,30.67,"54,602","44,952",3.01,2.76,91.04,89.15,"131,400","130,678",2.34,2.13,37.94,27.86,"54,759","40,839",3.43,3.41,62.10,60.31,"89,632","88,400",2.46,2.02,24.81,22.91,"35,806","33,587",2.82,2.12,5.62,10.95,"7,539.62","8,177.07",17.71,0.522,0.619,0.806,0.639,27,3,4,,3,,37,546,29,25,,18,,618,4,2,6,8,4,13,37,40,63,162,166,87,100,618,61,4,,,21,,113,,,47,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,X,,2012 - 2035,2002,,4,4,,1,1,1
,27,Centro Norte y Occidente,Guadalajara,11,Guanajuato,15,2,11025,Purísima del Rincón (Jalpa de Cánovas),,"71,621","85,203",19.0%,291,58.10,106,706,0.8%,48.32,39.92,"34,605","34,016",2.23,2.03,5.81,2.78,"4,161","2,371",3.61,3.45,42.51,37.14,"30,444","31,645",2.04,1.92,37.93,43.47,"27,165","37,035",1.90,1.86,4.78,4.97,"3,422","4,233",8.98,11.64,"6,428","9,919",32.13,32.66,"23,013","27,826",2.59,2.48,26.00,15.05,"18,619","12,824",2.79,2.81,70.72,67.01,"50,651","57,098",2.23,2.08,10.68,11.87,"7,650","10,114",3.32,2.88,14.54,8.66,"10,414","7,379",2.97,3.20,25.71,26.72,"18,412","22,766",2.91,2.55,86.25,83.39,"61,770","71,051",2.08,1.94,25.35,21.86,"18,158","18,629",3.44,3.31,53.10,44.89,"38,027","38,249",2.03,1.81,12.60,10.69,"9,025","9,109",2.46,1.95,5.65,10.17,"9,278.42","10,062.88",12.94,0.505,0.649,0.865,0.657,8,,3,,2,,13,60,,17,,8,,85,4,1,2,1,2,3,13,24,7,21,3,13,17,85,10,60,5,25,8,30,,,,19,20,,,28,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,X,,2018 - 2021,2012,,1,1,,1,1,1
,28,Centro Norte y Occidente,Guadalajara,11,Guanajuato,,,11028,Salvatierra,,"106,631","89,381",-16.2%,593,,80,"37,203",41.6%,64.76,60.13,"69,053","53,741",2.04,1.94,8.93,7.07,"9,519","6,322",3.58,3.49,55.83,53.05,"59,535","47,419",1.80,1.74,26.43,23.12,"28,178","20,667",1.68,1.69,3.37,7.48,"3,589","6,685",5.45,9.27,"5,810","8,288",31.14,21.68,"33,208","19,375",2.56,2.44,20.02,12.71,"21,351","11,363",2.75,2.57,80.29,68.14,"85,618","60,902",2.02,1.95,10.99,8.77,"11,720","7,836",3.13,2.87,20.37,17.07,"21,726","15,258",2.96,2.86,13.75,27.58,"14,665","24,654",3.22,2.51,91.19,83.25,"97,232","74,408",1.94,1.87,22.83,16.64,"24,348","14,876",3.43,3.37,68.12,67.61,"72,642","60,426",1.94,1.73,22.45,31.20,"23,934","27,885",2.31,1.93,5.69,11.46,"8,846.65","9,594.61",12.40,0.538,0.642,0.871,0.670,10,2,,,,1,13,141,46,,,,14,201,1,,3,,3,6,13,2,,62,,57,80,201,31,31,,28,,,80,,,77,,,,27,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,X,,2015 - 2020,2012,,3,3,,1,1,1
